                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 2.3074,                 1.7622,                 1.0414,                0.68492,                0.60004,                0.64727,                0.29826,                  2.081,                 1.4896,                0.99927,               0.008515,               0.008515,               0.008515
                     48,                 2.2828,                 1.7281,                 1.0406,                0.76106,                0.62988,                0.67005,                0.30907,                  2.049,                 1.4207,                 0.9993,               0.008482,               0.008482,               0.008482
                     49,                 2.3388,                 1.7898,                 1.0514,                0.79714,                0.62944,                0.70678,                0.33166,                 2.0149,                 1.4169,                0.99116,               0.008449,               0.008449,               0.008449
                     50,                 2.2309,                 1.6654,                 1.0288,                0.76506,                0.64691,                0.70978,                0.33876,                 1.9887,                 1.4001,                0.99393,               0.008416,               0.008416,               0.008416
                     51,                 2.2383,                  1.653,                 1.0347,                0.81347,                0.66305,                0.72687,                0.34537,                 1.9928,                  1.366,                0.98495,               0.008383,               0.008383,               0.008383
                     52,                 2.1837,                 1.5484,                 1.0252,                0.81072,                0.67092,                0.73961,                0.35266,                 2.0065,                 1.3049,                0.99547,                0.00835,                0.00835,                0.00835
                     53,                 2.1665,                 1.5498,                 1.0157,                0.86916,                0.66731,                0.75145,                0.35196,                 2.0373,                 1.3456,                0.99699,               0.008317,               0.008317,               0.008317
                     54,                 2.1986,                 1.5509,                 1.0218,                0.87159,                0.68499,                0.76507,                0.35681,                 2.0372,                 1.3114,                0.98102,               0.008284,               0.008284,               0.008284
                     55,                  2.223,                 1.5873,                 1.0303,                0.86627,                0.65602,                0.73843,                0.33742,                 2.0584,                 1.3225,                 1.0008,               0.008251,               0.008251,               0.008251
                     56,                 2.1463,                 1.5091,                 1.0177,                0.81717,                0.66157,                0.77374,                0.36572,                 1.9693,                 1.2646,                0.97783,               0.008218,               0.008218,               0.008218
                     57,                 2.0957,                 1.4444,                 1.0055,                0.87086,                0.72208,                0.78144,                0.38057,                 1.9327,                 1.2546,                 0.9691,               0.008185,               0.008185,               0.008185
                     58,                 2.1011,                  1.433,                 1.0011,                0.88505,                0.71616,                0.80109,                0.37671,                  1.983,                 1.2074,                0.96534,               0.008152,               0.008152,               0.008152
                     59,                 2.0915,                 1.4168,                 1.0147,                0.82756,                0.74092,                0.79539,                0.36269,                 1.9872,                 1.2557,                0.98119,               0.008119,               0.008119,               0.008119
                     60,                 2.1203,                 1.4117,                  1.016,                0.90102,                0.71985,                0.81233,                0.38148,                 2.0053,                 1.1661,                0.97347,               0.008086,               0.008086,               0.008086
                     61,                 2.1499,                 1.4968,                 1.0056,                0.76102,                0.72511,                0.78919,                0.35867,                  1.973,                  1.249,                0.96974,               0.008053,               0.008053,               0.008053
                     62,                 2.0714,                 1.3931,                0.99589,                0.85739,                0.73217,                0.80767,                0.37968,                 1.9109,                 1.2047,                0.96102,                0.00802,                0.00802,                0.00802
                     63,                 2.0519,                 1.3749,                0.99371,                0.88914,                0.72451,                0.80346,                0.37334,                 1.9665,                 1.1782,                0.96577,               0.007987,               0.007987,               0.007987
                     64,                 2.0077,                 1.3384,                0.98144,                  0.903,                0.73883,                0.80705,                 0.3766,                  1.959,                 1.2082,                0.96024,               0.007954,               0.007954,               0.007954
                     65,                  2.041,                 1.3167,                 1.0058,                0.83537,                0.75391,                0.81255,                0.37425,                 1.9452,                 1.1345,                0.96114,               0.007921,               0.007921,               0.007921
                     66,                 2.0198,                 1.3315,                0.98276,                0.89708,                0.73844,                0.83285,                0.40376,                 1.8606,                 1.1208,                 0.9444,               0.007888,               0.007888,               0.007888
                     67,                 1.9883,                 1.2753,                0.99444,                0.86195,                0.76141,                0.82324,                0.40727,                 1.8419,                 1.1158,                0.94579,               0.007855,               0.007855,               0.007855
                     68,                 1.9581,                 1.2347,                0.97648,                0.90444,                0.76814,                0.84335,                0.42512,                 1.8232,                 1.0574,                0.93833,               0.007822,               0.007822,               0.007822
                     69,                 2.0157,                 1.2905,                 0.9827,                0.89874,                0.71527,                0.82469,                0.38668,                 1.9104,                 1.1695,                0.95691,               0.007789,               0.007789,               0.007789
                     70,                 1.9775,                 1.2487,                0.98903,                0.89556,                0.76907,                0.84404,                 0.4007,                 1.8688,                 1.0569,                0.95089,               0.007756,               0.007756,               0.007756
                     71,                 2.0152,                 1.2911,                0.98851,                0.90158,                0.71591,                 0.8298,                0.37724,                 1.9215,                 1.1845,                0.95982,               0.007723,               0.007723,               0.007723
                     72,                   1.99,                 1.2664,                0.98046,                0.90038,                0.73517,                0.82353,                0.40909,                 1.8393,                 1.0883,                0.94879,                0.00769,                0.00769,                0.00769
                     73,                 1.9444,                  1.238,                0.97814,                0.91671,                0.72447,                0.83613,                0.41482,                 1.8413,                 1.1466,                0.94648,               0.007657,               0.007657,               0.007657
                     74,                 1.9597,                  1.222,                0.97354,                0.87606,                0.77422,                0.84036,                0.41699,                 1.8307,                 1.0566,                0.93995,               0.007624,               0.007624,               0.007624
